split,site,attack_ratio_pct,dataset,label,tp,fp,fn,tn,precision,recall,f1,fpr,day_recall,day_fpr,n_atk_days,det_atk_days,n_cln_days,fa_days
validation,all,-1,validation,validation,6671,930,2729,165928,0.8776476779371135,0.7096808510638298,0.784777366037292,0.005573601505471718,0.9243243243243243,0.21226415094339623,185,171,212,45
test,site5_5.9kw_2016_2019,5,site5_5.9kw_2016_2019_attack_sa_5pct,site5_5.9kw_2016_2019_attack_sa_5pct,474,135,173,14363,0.7783251231527094,0.732612055641422,0.7547770700636943,0.009311629190233135,0.8529411764705882,0.1523809523809524,34,29,105,16
test,site5_5.9kw_2016_2019,8,site5_5.9kw_2016_2019_attack_sa_8pct,site5_5.9kw_2016_2019_attack_sa_8pct,598,130,49,14368,0.8214285714285714,0.9242658423493045,0.8698181818181819,0.008966754035039316,0.9705882352941176,0.1523809523809524,34,33,105,16
test,site5_5.9kw_2016_2019,10,site5_5.9kw_2016_2019_attack_sa_10pct,site5_5.9kw_2016_2019_attack_sa_10pct,633,127,14,14371,0.8328947368421052,0.9783616692426584,0.8997867803837952,0.008759828941923025,1.0,0.1523809523809524,34,34,105,16
test,site5_7.0kw_2016_2019,5,site5_7.0kw_2016_2019_attack_sa_5pct,site5_7.0kw_2016_2019_attack_sa_5pct,828,52,229,21666,0.9409090909090909,0.783349101229896,0.8549303045947342,0.0023943272861221107,0.7735849056603774,0.08823529411764706,53,41,170,15
test,site5_7.0kw_2016_2019,8,site5_7.0kw_2016_2019_attack_sa_8pct,site5_7.0kw_2016_2019_attack_sa_8pct,984,55,73,21663,0.9470644850818094,0.9309366130558183,0.9389312977099237,0.0025324615526291557,0.8867924528301887,0.09411764705882353,53,47,170,16
test,site5_7.0kw_2016_2019,10,site5_7.0kw_2016_2019_attack_sa_10pct,site5_7.0kw_2016_2019_attack_sa_10pct,1002,58,55,21660,0.9452830188679245,0.9479659413434248,0.9466225791213982,0.0026705958191362003,0.9245283018867925,0.09411764705882353,53,49,170,16
test,site5_327.6kw_2016_2019,5,site5_327.6kw_2016_2019_attack_sa_5pct,site5_327.6kw_2016_2019_attack_sa_5pct,1000,105,343,23098,0.9049773755656109,0.7446016381236039,0.8169934640522877,0.00452527690384864,0.7903225806451613,0.1111111111111111,62,49,198,22
test,site5_327.6kw_2016_2019,8,site5_327.6kw_2016_2019_attack_sa_8pct,site5_327.6kw_2016_2019_attack_sa_8pct,1206,109,137,23094,0.9171102661596958,0.8979895755770663,0.90744920993228,0.004697668404947636,0.8709677419354839,0.11616161616161616,62,54,198,23
test,site5_327.6kw_2016_2019,10,site5_327.6kw_2016_2019_attack_sa_10pct,site5_327.6kw_2016_2019_attack_sa_10pct,1241,114,102,23089,0.9158671586715867,0.9240506329113924,0.9199406968124537,0.0049131577813213805,0.8709677419354839,0.11616161616161616,62,54,198,23
test,site5_226.8kw_2016_2019,5,site5_226.8kw_2016_2019_attack_sa_5pct,site5_226.8kw_2016_2019_attack_sa_5pct,965,71,331,23177,0.9314671814671814,0.7445987654320988,0.8276157804459692,0.0030540261527873367,0.6984126984126984,0.116751269035533,63,44,197,23
test,site5_226.8kw_2016_2019,8,site5_226.8kw_2016_2019_attack_sa_8pct,site5_226.8kw_2016_2019_attack_sa_8pct,1110,73,186,23175,0.9382924767540152,0.8564814814814815,0.8955223880597014,0.0031400550584996557,0.7777777777777778,0.116751269035533,63,49,197,23
test,site5_226.8kw_2016_2019,10,site5_226.8kw_2016_2019_attack_sa_10pct,site5_226.8kw_2016_2019_attack_sa_10pct,1165,72,131,23176,0.9417946645109135,0.8989197530864198,0.9198578760363206,0.0030970406056434964,0.8412698412698413,0.116751269035533,63,53,197,23
